Edad,Genero,Comunidad_Autonoma,Situacion_Laboral,Historial_Familiar,Estres_Diario,Horas_Sueno,Actividad_Fisica,Apoyo_Social,Consumo_Redes,RISK_LEVEL
56,Masculino,Murcia,Empleado,No,7,6.1,Baja,7,3.5,Medio
69,Femenino,Andalucía,Empleado,No,4,6.8,Media,6,3.9,Bajo
46,Femenino,Madrid,Empleado,Sí,6,8.9,Media,2,5.6,Alto
32,Femenino,Andalucía,Empleado,Sí,7,7.9,Alta,3,4.6,Medio
60,Masculino,Comunidad Valenciana,Jubilado,Sí,4,7.0,Baja,1,4.7,Alto
25,Masculino,Baleares,Empleado,No,8,6.7,Alta,10,5.3,Bajo
78,Masculino,Canarias,Jubilado,No,9,7.1,Baja,5,6.1,Alto
38,Femenino,Cataluña,Desempleado,Sí,1,6.4,Baja,9,0.5,Bajo
56,Masculino,Cantabria,Empleado,No,7,4.5,Baja,6,3.2,Medio
75,Femenino,País Vasco,Empleado,No,9,9.5,Media,5,2.2,Medio
36,Otro,Andalucía,Empleado,No,10,7.2,Baja,3,5.0,Alto
40,Femenino,Cataluña,Empleado,Sí,5,7.5,Media,5,3.1,Medio
28,Femenino,Cataluña,Desempleado,No,2,6.9,Alta,8,4.2,Bajo
28,Masculino,Andalucía,Empleado,No,10,6.1,Media,2,5.7,Alto
41,Femenino,Navarra,Empleado,Sí,6,6.8,Media,5,2.8,Medio
70,Femenino,Madrid,Empleado,No,7,5.1,Alta,6,4.7,Medio
53,Femenino,Baleares,Jubilado,Sí,2,9.7,Media,10,7.1,Bajo
57,Masculino,Cataluña,Estudiante,No,2,5.5,Media,8,5.7,Bajo
41,Masculino,Andalucía,Estudiante,No,10,5.8,Baja,8,0.8,Alto
20,Masculino,Madrid,Empleado,No,10,6.5,Alta,5,3.4,Medio
39,Femenino,Andalucía,Estudiante,No,1,8.5,Media,9,4.7,Bajo
70,Femenino,Comunidad Valenciana,Estudiante,Sí,4,7.0,Baja,4,5.1,Medio
19,Femenino,Asturias,Desempleado,No,7,5.5,Baja,9,3.5,Alto
41,Masculino,Comunidad Valenciana,Jubilado,No,9,8.5,Alta,7,2.7,Medio
61,Femenino,Galicia,Empleado,No,3,7.9,Baja,6,4.1,Bajo
47,Masculino,Andalucía,Jubilado,No,7,7.6,Alta,4,1.8,Medio
55,Masculino,Andalucía,Jubilado,No,7,7.9,Baja,2,6.2,Alto
19,Masculino,Andalucía,Empleado,No,7,9.9,Media,8,7.7,Medio
77,Femenino,Galicia,Empleado,Sí,2,9.6,Baja,6,4.8,Medio
38,Masculino,Andalucía,Jubilado,No,6,6.2,Media,3,3.5,Alto
50,Femenino,Madrid,Empleado,No,2,8.9,Alta,7,5.9,Bajo
29,Femenino,Comunidad Valenciana,Empleado,No,6,7.5,Media,10,5.5,Bajo
75,Masculino,Madrid,Jubilado,No,10,7.6,Media,7,3.4,Alto
39,Femenino,Andalucía,Desempleado,Sí,3,5.0,Baja,6,3.9,Medio
78,Masculino,Cataluña,Empleado,No,2,6.8,Baja,2,2.8,Bajo
61,Masculino,Asturias,Desempleado,No,6,6.0,Baja,8,4.3,Medio
42,Masculino,País Vasco,Empleado,No,2,8.0,Media,1,4.6,Medio
66,Masculino,Comunidad Valenciana,Empleado,Sí,5,8.3,Baja,1,2.4,Alto
44,Femenino,Andalucía,Empleado,No,2,4.5,Baja,6,1.9,Bajo
76,Masculino,La Rioja,Desempleado,Sí,3,7.0,Media,5,1.3,Medio
80,Femenino,País Vasco,Empleado,No,3,8.3,Media,9,4.8,Bajo
59,Femenino,Cataluña,Estudiante,No,6,6.8,Media,7,4.0,Bajo
45,Femenino,Baleares,Desempleado,Sí,6,7.9,Baja,2,3.8,Alto
